"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"12:51:07 2019-November-29","Extra Data","0451","40.09183567","-88.24962465","226.13095093","0",
"12:51:12 2019-November-29","Extra Data","0453","40.08973945","-88.24640584","225.75393295","2.86",
"12:51:18 2019-November-29","Extra Data","0453","40.08970769","-88.24616686","227.15395737","2.86",
"12:52:03 2019-November-29","Extra Data","0454","40.08983518","-88.24588707","225.13198471","31.34",
"12:52:08 2019-November-29","Extra Data","0454","40.09014106","-88.24580521","224.96773911","31.34",
"12:52:13 2019-November-29","Extra Data","0455","40.09074316","-88.24573196","224.52370834","41.88",
"12:52:18 2019-November-29","Extra Data","0455","40.09125215","-88.24566079","229.02541333","41.88",
"12:52:23 2019-November-29","Extra Data","0456","40.091765","-88.24558485","223.7633934","41.6",
"12:52:28 2019-November-29","Extra Data","0456","40.0922711","-88.24547363","223.26949692","41.6",
"12:52:33 2019-November-29","Extra Data","0457","40.09276216","-88.24539331","223.82253647","42.25",
"12:52:38 2019-November-29","Extra Data","0457","40.09330056","-88.2453086","222.58736801","42.25",
"12:52:43 2019-November-29","Extra Data","0458","40.09384121","-88.24522525","221.4540062","47.76",
"12:52:48 2019-November-29","Extra Data","0459","40.09444696","-88.24511327","220.84194565","48.19",
"12:52:53 2019-November-29","Extra Data","0459","40.09508673","-88.24501064","222.17884576","48.19",
"12:52:58 2019-November-29","Extra Data","0460","40.09567732","-88.24491055","221.95241934","47.69",
"12:53:03 2019-November-29","Extra Data","0461","40.09628491","-88.24480204","221.79269007","47.47",
"12:53:08 2019-November-29","Extra Data","0461","40.09687502","-88.24471991","221.90236179","47.47",
"12:53:13 2019-November-29","Extra Data","0462","40.09735082","-88.24463912","221.6143495","12.42",
"12:53:18 2019-November-29","Extra Data","0462","40.0975921","-88.24459193","221.6661827","12.42",
"12:53:33 2019-November-29","Extra Data","0462","40.09777699","-88.24456046","222.22360022","12.42",
"12:53:39 2019-November-29","Extra Data","0463","40.09799416","-88.2443949","221.98791244","28.13",
"12:53:44 2019-November-29","Extra Data","0463","40.09802246","-88.24403549","222.11971664","28.13",
"12:53:49 2019-November-29","Extra Data","0463","40.09803765","-88.24342147","223.81527328","28.13",
"12:53:54 2019-November-29","Extra Data","0464","40.09803152","-88.24265756","224.96114731","39.14",
"12:53:59 2019-November-29","Extra Data","0465","40.09801991","-88.24211684","224.39187241","44.61",
"12:54:04 2019-November-29","Extra Data","0465","40.09801506","-88.24144531","224.60689926","44.61",
"12:54:09 2019-November-29","Extra Data","0466","40.0980083","-88.24062899","222.87038803","48.98",
"12:54:14 2019-November-29","Extra Data","0466","40.09798604","-88.23967817","223.31521225","48.98",
"12:54:19 2019-November-29","Extra Data","0467","40.09797613","-88.23886344","223.18355942","51.35",
"12:54:24 2019-November-29","Extra Data","0468","40.09798228","-88.23820322","223.08785629","50.87",
"12:54:29 2019-November-29","Extra Data","0468","40.0980202","-88.23721845","223.79745102","50.87",
"12:54:34 2019-November-29","Extra Data","0469","40.0980306","-88.23640891","224.40121078","49.24",
"12:54:39 2019-November-29","Extra Data","0470","40.09804518","-88.23561299","225.75692368","48.52",
"12:54:44 2019-November-29","Extra Data","0470","40.09801898","-88.23481693","228.26089096","48.52",
"12:54:49 2019-November-29","Extra Data","0471","40.09804377","-88.23400776","229.823452","49.41",
"12:54:54 2019-November-29","Extra Data","0471","40.09805135","-88.23319057","230.83364487","49.41",
"12:54:59 2019-November-29","Extra Data","0472","40.09806402","-88.23242517","232.22182846","48.84",
"12:55:04 2019-November-29","Extra Data","0473","40.09809279","-88.23163016","230.56417465","51.44",
"12:55:09 2019-November-29","Extra Data","0473","40.09810172","-88.23079431","230.75521469","51.44",
"12:55:14 2019-November-29","Extra Data","0474","40.09808453","-88.22992218","231.49502182","52.78",
"12:55:19 2019-November-29","Extra Data","0475","40.09808172","-88.22906873","231.91781235","51.66",
"12:55:24 2019-November-29","Extra Data","0476","40.0980878","-88.22823809","232.05831528","50.02",
"12:55:29 2019-November-29","Extra Data","0476","40.0980868","-88.22742856","232.13636084","50.02",
"12:55:34 2019-November-29","Extra Data","0477","40.09811915","-88.2266239","230.07534409","51.97",
"12:55:39 2019-November-29","Extra Data","0478","40.09812959","-88.22575025","230.23800278","56.08",
"12:55:44 2019-November-29","Extra Data","0478","40.09811965","-88.22482447","230.25381088","56.08",
"12:55:49 2019-November-29","Extra Data","0479","40.09813311","-88.22390975","229.76760483","56.12",
