"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"12:51:08 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0451","40.09183567","-88.24962465","226.13095093","40.09032811","-88.24684021","225.97999573","290.54","CAR HARD SUSPENSION","false","0","0.05","","NOT MEASURED",
"12:51:09 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0452","40.09032811","-88.24684021","225.97999573","40.08976461","-88.24672513","217.3392601","63.34","CAR HARD SUSPENSION","false","0.2","0.09","","NOT MEASURED",
"12:52:01 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0453","40.0897639","-88.24665866","217.34713364","40.08967262","-88.24600895","225.47860336","56.33","CAR HARD SUSPENSION","true","2.86","0.05","","NOT MEASURED",
"12:52:12 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0454","40.08967262","-88.24600895","225.47860336","40.09064341","-88.24575727","224.13003159","109.91","CAR HARD SUSPENSION","true","31.34","0.05","2.76","GOOD",
"12:52:21 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0455","40.09064341","-88.24575727","224.13003159","40.09155394","-88.24562806","224.73244858","101.7","CAR HARD SUSPENSION","true","41.88","0.06","2.81","GOOD",
"12:52:30 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0456","40.09155394","-88.24562806","224.73244858","40.09246593","-88.24544001","223.53084946","102.53","CAR HARD SUSPENSION","true","41.6","0.07","3.16","GOOD",
"12:52:39 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0457","40.09246593","-88.24544001","223.53084946","40.09340771","-88.2452931","222.58065414","105.32","CAR HARD SUSPENSION","true","42.25","0.07","3.12","GOOD",
"12:52:47 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0458","40.09340771","-88.2452931","222.58065414","40.09437046","-88.24512937","221.04513168","107.81","CAR HARD SUSPENSION","true","47.76","0.07","2.91","GOOD",
"12:52:55 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0459","40.09437046","-88.24512937","221.04513168","40.09532157","-88.24497413","222.0748923","106.44","CAR HARD SUSPENSION","true","48.19","0.07","2.85","GOOD",
"12:53:03 2019-November-29","Extra Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0460","40.09532157","-88.24497413","222.0748923","40.09628491","-88.24480204","221.79269007","107.97","CAR HARD SUSPENSION","true","47.69","0.05","2.01","GOOD",
