"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"12:02:42 2019-November-29","Original Data","0234","40.10232104","-88.25756089","232.77999878","0",
"12:02:47 2019-November-29","Original Data","0236","40.09815427","-88.26158607","230.69149399","44.25",
"12:02:52 2019-November-29","Original Data","0237","40.09822131","-88.2623585","229.03182602","45.36",
"12:02:57 2019-November-29","Original Data","0237","40.09824497","-88.26311218","226.69582748","45.36",
"12:03:02 2019-November-29","Original Data","0238","40.09825825","-88.26386169","225.49056625","45.29",
"12:03:07 2019-November-29","Original Data","0238","40.09825654","-88.26415949","225.27401352","45.29",
"12:03:12 2019-November-29","Original Data","0239","40.09825942","-88.26532869","224.90877914","44.27",
"12:03:17 2019-November-29","Original Data","0240","40.09825964","-88.2660684","224.44497299","48.11",
"12:03:22 2019-November-29","Original Data","0240","40.09825844","-88.26685253","223.64913559","48.11",
"12:03:27 2019-November-29","Original Data","0241","40.09827028","-88.26764785","223.37081528","46.21",
"12:03:32 2019-November-29","Original Data","0241","40.09826856","-88.26837217","224.67861557","46.21",
"12:03:37 2019-November-29","Original Data","0242","40.09826587","-88.26910131","224.96224594","45.94",
"12:03:42 2019-November-29","Original Data","0243","40.09827484","-88.26987791","224.91640854","50.77",
"12:03:47 2019-November-29","Original Data","0243","40.09829701","-88.27071272","223.46560287","50.77",
"12:03:52 2019-November-29","Original Data","0244","40.09830025","-88.27151981","223.65951157","49.83",
"12:03:57 2019-November-29","Original Data","0245","40.09829022","-88.27231094","223.44118881","48.83",
"12:04:02 2019-November-29","Original Data","0245","40.09828474","-88.27311279","223.43502426","48.83",
"12:04:07 2019-November-29","Original Data","0246","40.09830301","-88.27393217","223.0088768","49.38",
"12:04:12 2019-November-29","Original Data","0246","40.09829609","-88.27473376","222.28963852","49.38",
"12:04:17 2019-November-29","Original Data","0247","40.09830204","-88.27554739","222.98672104","47.02",
"12:04:22 2019-November-29","Original Data","0248","40.098316","-88.2762016","222.88656235","31.14",
"12:04:27 2019-November-29","Original Data","0248","40.09848221","-88.27643151","222.34798813","31.14",
"12:04:32 2019-November-29","Original Data","0248","40.09893018","-88.27644182","222.04415512","31.14",
"12:04:37 2019-November-29","Original Data","0249","40.09952769","-88.27645993","222.42617416","47.91",
"12:04:42 2019-November-29","Original Data","0249","40.10012473","-88.27647376","222.7269333","47.91",
"12:04:47 2019-November-29","Original Data","0250","40.1006665","-88.27646809","223.30019002","46.23",
"12:04:52 2019-November-29","Original Data","0251","40.10124998","-88.27647492","223.38486672","44.07",
"12:04:57 2019-November-29","Original Data","0251","40.10178987","-88.27647863","223.69409028","44.07",
"12:05:02 2019-November-29","Original Data","0252","40.10241345","-88.27651558","224.12452785","49.05",
"12:05:07 2019-November-29","Original Data","0252","40.10303095","-88.27652983","224.92195115","49.05",
"12:05:12 2019-November-29","Original Data","0253","40.1036551","-88.27654232","225.36043712","47.65",
"12:05:17 2019-November-29","Original Data","0254","40.10416401","-88.27649932","223.72671127","46",
"12:05:22 2019-November-29","Original Data","0254","40.10479293","-88.27654163","226.64223325","46",
"12:05:27 2019-November-29","Original Data","0255","40.10538615","-88.27660618","222.54427719","45.31",
"12:05:32 2019-November-29","Original Data","0255","40.1059283","-88.2766116","227.44103327","45.31",
"12:05:37 2019-November-29","Original Data","0256","40.1064633","-88.27661583","227.28892667","43.84",
"12:05:42 2019-November-29","Original Data","0257","40.1070547","-88.27662527","227.89512207","48.1",
"12:05:47 2019-November-29","Original Data","0257","40.10768184","-88.27663571","230.52034264","48.1",
"12:05:52 2019-November-29","Original Data","0258","40.10824786","-88.27664428","231.26794299","40.97",
"12:05:57 2019-November-29","Original Data","0258","40.10874236","-88.2765938","231.30541846","40.97",
"12:06:02 2019-November-29","Original Data","0259","40.10894836","-88.27646328","231.28958443","28.57",
"12:06:07 2019-November-29","Original Data","0259","40.10898419","-88.27595234","232.5635029","28.57",
"12:06:12 2019-November-29","Original Data","0260","40.10897327","-88.27536487","234.00800074","39.14",
"12:06:17 2019-November-29","Original Data","0260","40.10896673","-88.27472864","233.31747055","39.14",
"12:06:22 2019-November-29","Original Data","0261","40.10896236","-88.27405313","233.36343002","42.56",
"12:06:27 2019-November-29","Original Data","0261","40.10895731","-88.27335561","232.4811058","42.56",
"12:06:32 2019-November-29","Original Data","0262","40.10895283","-88.27273651","232.05025864","43.43",
"12:06:37 2019-November-29","Original Data","0262","40.10894669","-88.27203506","232.342556","43.43",
