"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"12:02:42 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0234","40.10232104","-88.25756089","232.77999878","40.09821095","-88.26055505","225.69000244","522.95","CAR HARD SUSPENSION","false","0","0.04","","NOT MEASURED",
"12:02:44 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0235","40.09821095","-88.26055505","225.69000244","40.09801915","-88.26091007","232.83868408","37.01","CAR HARD SUSPENSION","true","0.25","0.12","","NOT MEASURED",
"12:02:50 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0236","40.09801915","-88.26091007","232.83868408","40.0982275","-88.26207405","229.1250267","101.91","CAR HARD SUSPENSION","true","44.25","0.13","5.44","FAIR",
"12:02:58 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0237","40.0982275","-88.26207405","229.1250267","40.09824442","-88.2632607","226.62514877","101.2","CAR HARD SUSPENSION","true","45.36","0.05","2.12","GOOD",
"12:03:08 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0238","40.09824442","-88.2632607","226.62514877","40.09825611","-88.26475477","225.16854477","127.4","CAR HARD SUSPENSION","true","45.29","0.05","2.13","GOOD",
"12:03:17 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0239","40.09825611","-88.26475477","225.16854477","40.09825964","-88.2660684","224.44497299","112.01","CAR HARD SUSPENSION","true","44.27","0.06","2.66","GOOD",
"12:03:25 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0240","40.09825964","-88.2660684","224.44497299","40.09826316","-88.26731418","223.82772446","106.23","CAR HARD SUSPENSION","true","48.11","0.07","2.78","GOOD",
"12:03:33 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0241","40.09826316","-88.26731418","223.82772446","40.09827002","-88.26851666","224.60287094","102.54","CAR HARD SUSPENSION","true","46.21","0.06","2.31","GOOD",
"12:03:41 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0242","40.09827002","-88.26851666","224.60287094","40.09827578","-88.26970643","224.7163353","101.45","CAR HARD SUSPENSION","true","45.94","0.05","2.14","GOOD",
"12:03:49 2019-November-29","Original Data","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0243","40.09827578","-88.26970643","224.7163353","40.09829958","-88.27103339","223.92757797","113.18","CAR HARD SUSPENSION","true","50.77","0.05","1.7","VERY GOOD",
