Latitude,Longitude,Street Name,Station,L.IRI,R.IRI
40.10338999,-88.23861073,1st St N NB,0,207,206
40.12000802,-88.23840777,1st St N SB,0,174,228
40.08332992,-88.23908779,1st St S NB,0,131,174
40.09807442,-88.23721922,1st St S SB,0,238,205
40.10931102,-88.23702815,2nd St,0,462,382
40.10367249,-88.23340146,4th St N NB,0,64,79
40.12722847,-88.23423523,4th St N SB,0,123,296
40.0834896,-88.23405613,4th St S,0,89,124
40.12017465,-88.2325954,5th St N,0,287,641
40.10542486,-88.23293155,5th St S,0,383,369
40.11639393,-88.22958696,6th St SB,0,50,152
40.13806403,-88.2584596,Anthony Dr E,0,96,114
40.13622501,-88.23897574,Anthony Dr W,0,111,83
40.1068404,-88.24030524,Armory Ave E,0,103,107
40.10539306,-88.26779825,Armory Ave W,0,97,109
40.14153636,-88.26124683,Baytowne Dr,0,418,386
40.12726927,-88.24547841,Bloomington Rd NB,0,171,175
40.13157015,-88.25789442,Bloomington Rd SB,0,125,155
40.15670174,-88.26292491,Boardwalk Dr EB,0,301,303
40.13859377,-88.23900536,Boardwalk Dr WB,0,141,143
40.12797546,-88.31467402,Bradley Ave EB,0,137,151
40.12738081,-88.2250974,Bradley Ave WB,0,193,217
40.08688258,-88.28966704,Branch Rd,0,546,485
40.09212763,-88.32546408,Brittany Trail Ln,0,528,547
40.09431703,-88.28100354,Broadmoor Dr E,0,497,418
40.09464264,-88.2853445,Broadmoor Dr W,0,375,443
40.0694042,-88.2906588,Cherry Hills Dr,0,148,139
40.11629876,-88.24183659,Chestnut St NB,0,137,226
40.11751931,-88.24053155,Chestnut St SB,0,258,218
40.12288154,-88.30077892,Clayton Rd_Blvd,0,296,352
40.10924287,-88.28307008,Country Fair Dr,0,355,330
40.08987341,-88.28006081,Crescent Dr,0,370,293
40.12249807,-88.30033791,Crestwood Dr,0,300,431
40.06939375,-88.30227105,Curtis Rd E EB,0,77,66
40.06928429,-88.26828177,Curtis Rd E WB,0,80,133
40.06964468,-88.32917465,Curtis Rd W EB,0,115,132
40.06957212,-88.3048748,Curtis Rd W WB,0,148,110
40.10885495,-88.23872681,Daniel St,0,214,255
40.0903011,-88.27635602,Devonshire Dr,0,147,101
40.11283842,-88.26971674,Draper Ave,0,125,252
40.06939043,-88.29669752,Duncan Rd NB,0,105,125
40.13472303,-88.29582667,Duncan Rd SB,0,133,127
40.10912628,-88.24034228,E John St,0,203,116
40.12124877,-88.24356555,E Washington St EB,0,666,602
40.12003936,-88.23750956,E Washington St WB,0,269,230
40.12044654,-88.25019252,Elm St,0,262,181
40.15654937,-88.26855704,Farber Dr,0,123,213
40.08409297,-88.30706659,Fields Dr,0,243,165
40.08364379,-88.24892859,Fox Dr,0,97,95
40.07783633,-88.25741366,Galen Dr,0,504,560
40.10592851,-88.30208435,Goldeview Dr,0,285,256
40.11099952,-88.27720003,Green St EB,0,528,510
40.11134403,-88.22891178,Green St WB,0,675,362
40.1337937,-88.23888242,HaganSt_Kenyon,0,374,331
40.1042968,-88.25775749,Hessel Blvd,0,75,63
40.14891005,-88.24404332,Interstate Dr,0,322,421
40.08890093,-88.31414415,Ironwood Ln,0,182,196
40.11301059,-88.28613465,Kenwood Dr,0,430,346
40.09873263,-88.33329772,Kirby Ave,0,497,525
40.09815818,-88.22638053,Kirby Ave WB,0,183,157
40.09345012,-88.26395901,Lincoln rd_pl,0,187,219
40.11710935,-88.24076689,Main St,0,144,205
40.13655771,-88.23890093,Market St N NB,0,69,99
40.11382975,-88.24254301,Market St S NB,0,362,350
40.11749417,-88.24083851,Market St S SB,0,183,334
40.1388409,-88.23886785,Market_Board NB,0,659,626
40.1568102,-88.26080407,Market_Board SB,0,60,64
40.13871414,-88.2390094,Market_Board WB,0,115,113
40.15680282,-88.26137843,Market_Boardwalk,0,51,66
40.13821703,-88.27715848,Mattis Ave N NB,0,61,50
40.16568365,-88.27717302,Mattis Ave N SB,0,85,142
40.06155496,-88.27592303,Mattis Ave S NB,0,537,331
40.11458449,-88.27691635,Mattis Ave S SB,0,118,148
40.13445197,-88.2633499,McKinley Ave,0,88,111
40.14345082,-88.25790567,Meijer Dr,0,72,123
40.13507194,-88.24941207,Moreland Blvd,0,60,177
40.09869783,-88.32110757,Mullikin Dr,0,59,57
40.17160865,-88.23959298,N Market St,0,115,203
40.13538886,-88.24376579,Neil passing,0,77,62
40.13795644,-88.24495753,Neil St N NB,0,328,344
40.14916227,-88.24737186,Neil St N SB,0,88,106
40.11992477,-88.24224183,Neil St Nb,0,123,93
40.13364129,-88.24380144,Neil St SB,0,68,147
40.11065451,-88.24340157,Neil Walnut,0,109,282
40.12729786,-88.23542903,Oak St NB,0,200,170
40.13175645,-88.233435,Oak St SB,0,190,177
40.16054256,-88.21041423,Olympian Dr 2,0,104,102
40.16215138,-88.29605299,Olympian Dr EB,0,329,344
40.13167332,-88.25811579,Paula_Frances Dr,0,625,451
40.13630945,-88.25786312,Prospect Ave N NB,0,112,700
40.15920706,-88.25816076,Prospect Ave N SB,0,132,141
40.07567787,-88.25738831,Prospect Ave S NB,0,52,57
40.11345693,-88.25789887,Prospect Ave S SB,0,371,490
40.10231561,-88.24474598,Randolph St,0,245,330
40.0786107,-88.3329112,Rising Rd NB,0,112,100
40.10665346,-88.33324292,Rising Rd SB,0,85,153
40.11275667,-88.26639592,Russell St,0,91,136
40.10149117,-88.29525068,Sangamon Dr,0,116,104
40.09835553,-88.28850708,Scottsdale Dr,0,69,77
