"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"18:26:31 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0225","40.14912596","-88.25625275","224.97603989","0",
"18:26:36 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0225","40.14912067","-88.25682521","221.70876694","0",
"18:32:46 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0225","40.16132149","-88.24499388","226.76695251","0",
"18:32:51 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0227","40.14912274","-88.24896604","228.19668198","26.02",
"18:32:56 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0227","40.14912523","-88.24944545","227.64576312","26.02",
"18:33:01 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0227","40.14912758","-88.24989509","227.80818229","26.02",
"18:33:06 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0228","40.1491299","-88.25034109","227.59390202","28.75",
"18:33:11 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0228","40.14913245","-88.25083024","226.87774055","28.75",
"18:33:16 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0229","40.14913481","-88.25130341","226.44193729","29.3",
"18:33:21 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0229","40.14913703","-88.25178506","226.77549158","29.3",
"18:33:26 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0229","40.14913911","-88.25223774","226.09658432","29.3",
"18:33:31 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0230","40.14913803","-88.2527351","226.22421228","29.16",
"18:33:36 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0230","40.14913704","-88.25319863","226.53131911","29.16",
"18:33:41 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0231","40.14913643","-88.25367716","226.98515681","28.69",
"18:33:46 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0231","40.14913606","-88.2539735","227.24290643","28.69",
"18:33:51 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0231","40.14913526","-88.25459753","227.19118881","28.69",
"18:33:56 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0232","40.14913275","-88.25508291","227.48183823","28.9",
"18:34:01 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0232","40.14912938","-88.25557363","225.96828842","28.9",
"18:34:06 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0232","40.14912786","-88.25604357","225.73861313","28.9",
"18:34:11 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0233","40.14912341","-88.25652888","226.08053207","27.41",
"18:34:16 2019-November-07","PCC-Interstate St-15 mph-2nd Try","0233","40.14911992","-88.25693058","224.74020004","27.41",
