"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"17:55:04 2019-November-07","PCC-Interstate St-30 mph-1st Try","0201","40.10305912","-88.24670422","228.18547597","0.16",
"17:55:09 2019-November-07","PCC-Interstate St-30 mph-1st Try","0201","40.10256358","-88.24669896","228.40336365","0.16",
"18:10:23 2019-November-07","PCC-Interstate St-30 mph-1st Try","0201","40.14869692","-88.24853566","229.69670105","0.16",
"18:10:29 2019-November-07","PCC-Interstate St-30 mph-1st Try","0202","40.14912416","-88.24923892","229.47140121","39.78",
"18:10:34 2019-November-07","PCC-Interstate St-30 mph-1st Try","0202","40.14912777","-88.24993182","229.30511476","39.78",
"18:10:39 2019-November-07","PCC-Interstate St-30 mph-1st Try","0203","40.14913171","-88.25068789","229.25861168","46.79",
"18:10:44 2019-November-07","PCC-Interstate St-30 mph-1st Try","0204","40.14913555","-88.25146521","228.84601004","46.77",
"18:10:49 2019-November-07","PCC-Interstate St-30 mph-1st Try","0204","40.14913905","-88.25222497","228.73506056","46.77",
"18:10:54 2019-November-07","PCC-Interstate St-30 mph-1st Try","0205","40.1491375","-88.25297573","227.87357645","47.03",
"18:10:59 2019-November-07","PCC-Interstate St-30 mph-1st Try","0205","40.14913633","-88.25375933","228.48576789","47.03",
"18:11:04 2019-November-07","PCC-Interstate St-30 mph-1st Try","0206","40.14913539","-88.25449782","227.26656723","46.37",
"18:11:09 2019-November-07","PCC-Interstate St-30 mph-1st Try","0207","40.14913118","-88.25528503","227.17885971","47.26",
"18:11:14 2019-November-07","PCC-Interstate St-30 mph-1st Try","0207","40.14912785","-88.25604688","225.26510239","47.26",
"18:11:19 2019-November-07","PCC-Interstate St-30 mph-1st Try","0208","40.14912089","-88.25680197","224.83236313","41.56",
"18:11:24 2019-November-07","PCC-Interstate St-30 mph-1st Try","0208","40.14911616","-88.2574591","223.9597435","41.56",
