Trial,Speed,Interval_Length,Suspension_Type,Is_Fixed,Speed2,St_Dev_Vert_Accel,Roughness (m/km),(in/mi)
1,15,131.88,CAR HARD SUSPENSION,TRUE,0,0.05,,0
1,15,72.77,CAR HARD SUSPENSION,TRUE,0.12,0.05,,0
1,15,100.64,CAR HARD SUSPENSION,TRUE,26.44,0.04,2.2,139.3922498
1,15,109.26,CAR HARD SUSPENSION,TRUE,25.87,0.04,2.24,141.9266543
1,15,108.26,CAR HARD SUSPENSION,TRUE,27.55,0.03,2.04,129.2546316
1,15,108.18,CAR HARD SUSPENSION,TRUE,30.07,0.04,2.1,133.0562384
1,15,103.66,CAR HARD SUSPENSION,TRUE,28.9,0.03,1.98,125.4530248
1,15,102.67,CAR HARD SUSPENSION,TRUE,28.61,0.04,2.44,154.598677
1,30,58.08,CAR HARD SUSPENSION,TRUE,0.16,0.04,,0
1,30,109.68,CAR HARD SUSPENSION,TRUE,39.78,0.05,2.24,141.9266543
1,30,105.46,CAR HARD SUSPENSION,TRUE,46.79,0.07,2.63,166.6370986
1,30,102.69,CAR HARD SUSPENSION,TRUE,46.77,0.06,2.34,148.2626657
1,30,105.69,CAR HARD SUSPENSION,TRUE,47.03,0.05,2.1,133.0562384
1,30,103.7,CAR HARD SUSPENSION,TRUE,46.37,0.05,2.1,133.0562384
1,30,105.11,CAR HARD SUSPENSION,TRUE,47.26,0.06,2.33,147.6290646
1,30,101.26,CAR HARD SUSPENSION,TRUE,41.56,0.05,2.14,135.590643
2,15,1891.3,CAR HARD SUSPENSION,TRUE,0,0.05,,0
2,15,50.85,CAR HARD SUSPENSION,TRUE,0.12,0.04,,0
2,15,106.52,CAR HARD SUSPENSION,TRUE,26.02,0.04,2.2,139.3922498
2,15,105.06,CAR HARD SUSPENSION,TRUE,28.75,0.04,2.12,134.3234407
2,15,104.94,CAR HARD SUSPENSION,TRUE,29.3,0.04,2.05,129.8882328
2,15,105.36,CAR HARD SUSPENSION,TRUE,29.16,0.04,2.07,131.155435
2,15,103.1,CAR HARD SUSPENSION,TRUE,28.69,0.03,1.99,126.0866259
2,15,106.05,CAR HARD SUSPENSION,TRUE,28.9,0.04,2.35,148.8962668
2,15,106.67,CAR HARD SUSPENSION,TRUE,27.41,0.04,2.09,132.4226373
2,30,234.8,CAR HARD SUSPENSION,TRUE,0,0.04,,0
2,30,81.41,CAR HARD SUSPENSION,TRUE,0.11,0.05,,0
2,30,107.04,CAR HARD SUSPENSION,TRUE,44.12,0.05,2.06,130.5218339
2,30,107.22,CAR HARD SUSPENSION,TRUE,47.57,0.06,2.29,145.09466
2,30,103.59,CAR HARD SUSPENSION,TRUE,46.23,0.05,2.02,127.9874294
2,30,108.5,CAR HARD SUSPENSION,TRUE,48.71,0.05,2.12,134.3234407
2,30,105.32,CAR HARD SUSPENSION,TRUE,47.77,0.05,2.09,132.4226373
2,30,107.17,CAR HARD SUSPENSION,TRUE,47.37,0.06,2.36,149.529868
