"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"17:41:24 2019-November-07","AC-State St-15 mph-2nd Try","0172","40.10252292","-88.24669844","229.49898911","0",
"17:44:51 2019-November-07","AC-State St-15 mph-2nd Try","0172","40.1131542","-88.25031863","230.2350769","0",
"17:44:56 2019-November-07","AC-State St-15 mph-2nd Try","0174","40.10980994","-88.2467963","227.42684555","24.84",
"17:45:01 2019-November-07","AC-State St-15 mph-2nd Try","0174","40.10949536","-88.24679074","229.33319789","24.84",
"17:45:06 2019-November-07","AC-State St-15 mph-2nd Try","0174","40.10916083","-88.24678435","228.8937848","24.84",
"17:45:11 2019-November-07","AC-State St-15 mph-2nd Try","0175","40.10884405","-88.24677926","228.01333104","24.55",
"17:45:16 2019-November-07","AC-State St-15 mph-2nd Try","0175","40.10854178","-88.2467753","227.60804387","24.55",
"17:45:21 2019-November-07","AC-State St-15 mph-2nd Try","0175","40.10825201","-88.24677151","227.09809842","24.55",
"17:45:26 2019-November-07","AC-State St-15 mph-2nd Try","0176","40.10796708","-88.24676708","227.4698143","22.16",
"17:45:31 2019-November-07","AC-State St-15 mph-2nd Try","0176","40.10770949","-88.24676288","227.77303696","22.16",
"17:45:36 2019-November-07","AC-State St-15 mph-2nd Try","0176","40.10742506","-88.24675863","227.4083519","22.16",
"17:45:41 2019-November-07","AC-State St-15 mph-2nd Try","0177","40.10714319","-88.24675536","229.18612289","23.72",
"17:45:46 2019-November-07","AC-State St-15 mph-2nd Try","0177","40.10682619","-88.24675186","227.27402655","23.72",
"17:45:51 2019-November-07","AC-State St-15 mph-2nd Try","0177","40.10652237","-88.24675014","228.5066185","23.72",
"17:45:56 2019-November-07","AC-State St-15 mph-2nd Try","0178","40.1062294","-88.2467485","228.91891098","21.67",
"17:46:01 2019-November-07","AC-State St-15 mph-2nd Try","0178","40.10593694","-88.24674686","229.09225082","21.67",
"17:46:06 2019-November-07","AC-State St-15 mph-2nd Try","0178","40.1056572","-88.24674524","227.80727768","21.67",
"17:46:11 2019-November-07","AC-State St-15 mph-2nd Try","0178","40.10538629","-88.24674365","227.59786606","21.67",
"17:46:16 2019-November-07","AC-State St-15 mph-2nd Try","0179","40.10509074","-88.24674192","228.08095932","22.51",
"17:46:21 2019-November-07","AC-State St-15 mph-2nd Try","0179","40.10479165","-88.24673833","228.79549789","22.51",
"17:46:26 2019-November-07","AC-State St-15 mph-2nd Try","0179","40.10452269","-88.24673363","228.72695541","22.51",
"17:46:31 2019-November-07","AC-State St-15 mph-2nd Try","0180","40.10421491","-88.24672826","229.16933823","24.15",
"17:46:36 2019-November-07","AC-State St-15 mph-2nd Try","0180","40.10392266","-88.24672223","229.30367661","24.15",
"17:46:41 2019-November-07","AC-State St-15 mph-2nd Try","0180","40.10358982","-88.24671472","226.78036118","24.15",
"17:46:46 2019-November-07","AC-State St-15 mph-2nd Try","0181","40.10326654","-88.24670623","226.61568832","22.83",
"17:46:51 2019-November-07","AC-State St-15 mph-2nd Try","0181","40.10297694","-88.24670342","228.83163071","22.83",
"17:46:56 2019-November-07","AC-State St-15 mph-2nd Try","0181","40.10269677","-88.24670065","229.70473862","22.83",
