"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"17:44:51 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0172","40.1131542","-88.25031863","230.2350769","40.10994525","-88.24657932","225.55944824","478.12","CAR HARD SUSPENSION","true","0","0.04","","NOT MEASURED",
"17:44:52 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0173","40.10994525","-88.24657932","225.55944824","40.10999438","-88.24660359","237.64675522","5.83","CAR HARD SUSPENSION","true","0.26","0.1","","NOT MEASURED",
"17:45:07 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0174","40.10999438","-88.24660359","237.64675522","40.1090925","-88.24678305","228.71270557","101.31","CAR HARD SUSPENSION","true","24.84","0.06","3.26","GOOD",
"17:45:23 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0175","40.1090925","-88.24678305","228.71270557","40.10813299","-88.24676979","227.10350966","106.55","CAR HARD SUSPENSION","true","24.55","0.05","2.91","GOOD",
"17:45:40 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0176","40.10813299","-88.24676979","227.10350966","40.10719867","-88.24675598","228.84194565","103.76","CAR HARD SUSPENSION","true","22.16","0.04","2.72","GOOD",
"17:45:55 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0177","40.10719867","-88.24675598","228.84194565","40.1062855","-88.24674881","228.8337059","101.4","CAR HARD SUSPENSION","true","23.72","0.05","2.88","GOOD",
"17:46:12 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0178","40.1062855","-88.24674881","228.8337059","40.10532959","-88.24674332","227.74990463","106.15","CAR HARD SUSPENSION","true","21.67","0.06","3.57","GOOD",
"17:46:28 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0179","40.10532959","-88.24674332","227.74990463","40.10439484","-88.2467314","229.17892075","103.8","CAR HARD SUSPENSION","true","22.51","0.05","3.11","GOOD",
"17:46:43 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0180","40.10439484","-88.2467314","229.17892075","40.10346098","-88.24671182","227.12081528","103.71","CAR HARD SUSPENSION","true","24.15","0.05","3.05","GOOD",
"17:46:59 2019-November-07","AC-State St-15 mph-2nd Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0181","40.10346098","-88.24671182","227.12081528","40.10253479","-88.24669859","229.9406395","102.85","CAR HARD SUSPENSION","true","22.83","0.06","3.19","GOOD",
