"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"17:39:24 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0162","40.11009876","-88.24572742","225.6499939","40.11005655","-88.24692972","225.6499939","102.62","CAR HARD SUSPENSION","false","0","0.07","","NOT MEASURED",
"17:39:25 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0163","40.11005655","-88.24692972","225.6499939","40.11002187","-88.24666201","235.27004623","23.15","CAR HARD SUSPENSION","false","0.28","0.08","","NOT MEASURED",
"17:39:39 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0164","40.11002187","-88.24666201","235.27004623","40.10907406","-88.2467827","227.67696762","105.75","CAR HARD SUSPENSION","true","25.72","0.06","3.09","GOOD",
"17:39:54 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0165","40.10907406","-88.2467827","227.67696762","40.10816397","-88.2467703","225.66244125","101.06","CAR HARD SUSPENSION","true","24.79","0.05","2.91","GOOD",
"17:40:09 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0166","40.10816397","-88.2467703","225.66244125","40.10720057","-88.246756","226.87679672","106.98","CAR HARD SUSPENSION","true","26.01","0.05","2.62","GOOD",
"17:40:25 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0167","40.10720057","-88.246756","226.87679672","40.10626183","-88.24674868","226.53158188","104.24","CAR HARD SUSPENSION","true","23.38","0.04","2.64","GOOD",
"17:40:40 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0168","40.10626183","-88.24674868","226.53158188","40.10536026","-88.2467435","226.83785629","100.11","CAR HARD SUSPENSION","true","22.95","0.06","3.38","GOOD",
"17:40:54 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0169","40.10536026","-88.2467435","226.83785629","40.10444885","-88.24673234","228.57308578","101.21","CAR HARD SUSPENSION","true","25.41","0.06","3.16","GOOD",
"17:41:08 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0170","40.10444885","-88.24673234","228.57308578","40.10353062","-88.24671339","227.94112778","101.97","CAR HARD SUSPENSION","true","26.34","0.05","3","GOOD",
"17:41:22 2019-November-07","AC-State St-15mph-1st Try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0171","40.10353062","-88.24671339","227.94112778","40.10261534","-88.24669962","229.98885727","101.64","CAR HARD SUSPENSION","true","25.99","0.06","3.09","GOOD",
