Trial,Speed,Time,Road_Identification,Road_Pavement_Type,Interval_Number,Interval_Start_Latitude,Interval_Start_Longitude,Interval_Start_Altitude,Interval_End_Latitude,Interval_End_Longitude,Interval_End_Altitude,Interval_Length,Suspension_Type,Is_Fixed,Speed,St_Dev_Vert_Accel,Roughness,,Condition_Category
2,15,17:44:51 2019-November-07,AC-State St-15 mph-2nd Try,Paved,172,40.1131542,-88.25031863,230.2350769,40.10994525,-88.24657932,225.5594482,478.12,CAR HARD SUSPENSION,TRUE,0,0.04,,0,NOT MEASURED
2,15,17:44:52 2019-November-07,AC-State St-15 mph-2nd Try,Paved,173,40.10994525,-88.24657932,225.5594482,40.10999438,-88.24660359,237.6467552,5.83,CAR HARD SUSPENSION,TRUE,0.26,0.1,,0,NOT MEASURED
2,15,17:45:07 2019-November-07,AC-State St-15 mph-2nd Try,Paved,174,40.10999438,-88.24660359,237.6467552,40.1090925,-88.24678305,228.7127056,101.31,CAR HARD SUSPENSION,TRUE,24.84,0.06,3.26,206.5539701,GOOD
2,15,17:45:23 2019-November-07,AC-State St-15 mph-2nd Try,Paved,175,40.1090925,-88.24678305,228.7127056,40.10813299,-88.24676979,227.1035097,106.55,CAR HARD SUSPENSION,TRUE,24.55,0.05,2.91,184.3779304,GOOD
2,15,17:45:40 2019-November-07,AC-State St-15 mph-2nd Try,Paved,176,40.10813299,-88.24676979,227.1035097,40.10719867,-88.24675598,228.8419457,103.76,CAR HARD SUSPENSION,TRUE,22.16,0.04,2.72,172.3395088,GOOD
2,15,17:45:55 2019-November-07,AC-State St-15 mph-2nd Try,Paved,177,40.10719867,-88.24675598,228.8419457,40.1062855,-88.24674881,228.8337059,101.4,CAR HARD SUSPENSION,TRUE,23.72,0.05,2.88,182.477127,GOOD
2,15,17:46:12 2019-November-07,AC-State St-15 mph-2nd Try,Paved,178,40.1062855,-88.24674881,228.8337059,40.10532959,-88.24674332,227.7499046,106.15,CAR HARD SUSPENSION,TRUE,21.67,0.06,3.57,226.1956053,GOOD
2,15,17:46:28 2019-November-07,AC-State St-15 mph-2nd Try,Paved,179,40.10532959,-88.24674332,227.7499046,40.10439484,-88.2467314,229.1789208,103.8,CAR HARD SUSPENSION,TRUE,22.51,0.05,3.11,197.0499531,GOOD
2,15,17:46:43 2019-November-07,AC-State St-15 mph-2nd Try,Paved,180,40.10439484,-88.2467314,229.1789208,40.10346098,-88.24671182,227.1208153,103.71,CAR HARD SUSPENSION,TRUE,24.15,0.05,3.05,193.2483463,GOOD
2,15,17:46:59 2019-November-07,AC-State St-15 mph-2nd Try,Paved,181,40.10346098,-88.24671182,227.1208153,40.10253479,-88.24669859,229.9406395,102.85,CAR HARD SUSPENSION,TRUE,22.83,0.06,3.19,202.1187622,GOOD
1,15,17:39:24 2019-November-07,AC-State St-15mph-1st Try,Paved,162,40.11009876,-88.24572742,225.6499939,40.11005655,-88.24692972,225.6499939,102.62,CAR HARD SUSPENSION,FALSE,0,0.07,,0,NOT MEASURED
1,15,17:39:25 2019-November-07,AC-State St-15mph-1st Try,Paved,163,40.11005655,-88.24692972,225.6499939,40.11002187,-88.24666201,235.2700462,23.15,CAR HARD SUSPENSION,FALSE,0.28,0.08,,0,NOT MEASURED
1,15,17:39:39 2019-November-07,AC-State St-15mph-1st Try,Paved,164,40.11002187,-88.24666201,235.2700462,40.10907406,-88.2467827,227.6769676,105.75,CAR HARD SUSPENSION,TRUE,25.72,0.06,3.09,195.7827508,GOOD
1,15,17:39:54 2019-November-07,AC-State St-15mph-1st Try,Paved,165,40.10907406,-88.2467827,227.6769676,40.10816397,-88.2467703,225.6624413,101.06,CAR HARD SUSPENSION,TRUE,24.79,0.05,2.91,184.3779304,GOOD
1,15,17:40:09 2019-November-07,AC-State St-15mph-1st Try,Paved,166,40.10816397,-88.2467703,225.6624413,40.10720057,-88.246756,226.8767967,106.98,CAR HARD SUSPENSION,TRUE,26.01,0.05,2.62,166.0034975,GOOD
1,15,17:40:25 2019-November-07,AC-State St-15mph-1st Try,Paved,167,40.10720057,-88.246756,226.8767967,40.10626183,-88.24674868,226.5315819,104.24,CAR HARD SUSPENSION,TRUE,23.38,0.04,2.64,167.2706997,GOOD
1,15,17:40:40 2019-November-07,AC-State St-15mph-1st Try,Paved,168,40.10626183,-88.24674868,226.5315819,40.10536026,-88.2467435,226.8378563,100.11,CAR HARD SUSPENSION,TRUE,22.95,0.06,3.38,214.1571838,GOOD
1,15,17:40:54 2019-November-07,AC-State St-15mph-1st Try,Paved,169,40.10536026,-88.2467435,226.8378563,40.10444885,-88.24673234,228.5730858,101.21,CAR HARD SUSPENSION,TRUE,25.41,0.06,3.16,200.2179588,GOOD
1,15,17:41:08 2019-November-07,AC-State St-15mph-1st Try,Paved,170,40.10444885,-88.24673234,228.5730858,40.10353062,-88.24671339,227.9411278,101.97,CAR HARD SUSPENSION,TRUE,26.34,0.05,3,190.0803406,GOOD
1,15,17:41:22 2019-November-07,AC-State St-15mph-1st Try,Paved,171,40.10353062,-88.24671339,227.9411278,40.10261534,-88.24669962,229.9888573,101.64,CAR HARD SUSPENSION,TRUE,25.99,0.06,3.09,195.7827508,GOOD
1,30,17:50:20 2019-November-07,AC-State St-30 mph-1st Try,Paved,182,40.11268241,-88.24950519,229.4461365,40.11006453,-88.24653412,225.5923767,385.57,CAR HARD SUSPENSION,TRUE,0,0.04,,0,NOT MEASURED
1,30,17:50:21 2019-November-07,AC-State St-30 mph-1st Try,Paved,183,40.11006453,-88.24653412,225.5923767,40.10998822,-88.24665086,224.9790306,13.07,CAR HARD SUSPENSION,TRUE,0.23,0.06,,0,NOT MEASURED
1,30,17:50:23 2019-November-07,AC-State St-30 mph-1st Try,Paved,184,40.10998822,-88.24665086,224.9790306,40.10997653,-88.24675254,227.621975,8.76,CAR HARD SUSPENSION,TRUE,15.46,0.12,,0,NOT MEASURED
1,30,17:50:33 2019-November-07,AC-State St-30 mph-1st Try,Paved,185,40.10997653,-88.24675254,227.621975,40.10901893,-88.24678165,227.1617699,106.36,CAR HARD SUSPENSION,TRUE,34.69,0.06,3.02,191.3475429,GOOD
1,30,17:50:41 2019-November-07,AC-State St-30 mph-1st Try,Paved,186,40.10901893,-88.24678165,227.1617699,40.10806446,-88.24676867,225.8846271,105.99,CAR HARD SUSPENSION,TRUE,47.48,0.07,2.6,164.7362952,GOOD
1,30,17:50:49 2019-November-07,AC-State St-30 mph-1st Try,Paved,187,40.10806446,-88.24676867,225.8846271,40.10715987,-88.24675555,225.2301292,100.45,CAR HARD SUSPENSION,TRUE,45.26,0.06,2.37,150.1634691,GOOD
1,30,17:50:58 2019-November-07,AC-State St-30 mph-1st Try,Paved,188,40.10715987,-88.24675555,225.2301292,40.10616195,-88.24674812,225.8315821,110.81,CAR HARD SUSPENSION,TRUE,44.56,0.06,2.44,154.598677,GOOD
1,30,17:51:07 2019-November-07,AC-State St-30 mph-1st Try,Paved,189,40.10616195,-88.24674812,225.8315821,40.1051789,-88.24674244,227.1798669,109.16,CAR HARD SUSPENSION,TRUE,43.1,0.07,2.97,188.1795372,GOOD
1,30,17:51:16 2019-November-07,AC-State St-30 mph-1st Try,Paved,190,40.1051789,-88.24674244,227.1798669,40.10419981,-88.246728,228.0747948,108.73,CAR HARD SUSPENSION,TRUE,42.9,0.1,4.29,271.8148871,FAIR
1,30,17:51:24 2019-November-07,AC-State St-30 mph-1st Try,Paved,191,40.10419981,-88.246728,228.0747948,40.10328722,-88.24670627,228.7842064,101.35,CAR HARD SUSPENSION,TRUE,45.11,0.08,3.19,202.1187622,GOOD
2,30,17:54:00 2019-November-07,AC-State St-30 mph-2nd Try,Paved,192,40.11291713,-88.25012463,226.9063568,40.11004489,-88.24647419,225.5753021,445.62,CAR HARD SUSPENSION,TRUE,0,0.04,,0,NOT MEASURED
2,30,17:54:01 2019-November-07,AC-State St-30 mph-2nd Try,Paved,193,40.11004489,-88.24647419,225.5753021,40.10998621,-88.24671918,222.7910423,21.88,CAR HARD SUSPENSION,TRUE,0.13,0.12,,0,NOT MEASURED
2,30,17:54:12 2019-November-07,AC-State St-30 mph-2nd Try,Paved,194,40.10998621,-88.24671918,222.7910423,40.10903682,-88.24678199,226.6465111,105.56,CAR HARD SUSPENSION,TRUE,35.2,0.06,2.83,179.3091213,GOOD
2,30,17:54:20 2019-November-07,AC-State St-30 mph-2nd Try,Paved,195,40.10903682,-88.24678199,226.6465111,40.10811164,-88.24676944,225.7623244,102.74,CAR HARD SUSPENSION,TRUE,46.08,0.07,2.71,171.7059077,GOOD
2,30,17:54:28 2019-November-07,AC-State St-30 mph-2nd Try,Paved,196,40.10811164,-88.24676944,225.7623244,40.1071788,-88.24675576,225.8346155,103.59,CAR HARD SUSPENSION,TRUE,46.67,0.06,2.61,165.3698963,GOOD
2,30,17:54:36 2019-November-07,AC-State St-30 mph-2nd Try,Paved,197,40.1071788,-88.24675576,225.8346155,40.10625309,-88.24674863,226.4171777,102.79,CAR HARD SUSPENSION,TRUE,46.24,0.06,2.4,152.0642725,GOOD
2,30,17:54:45 2019-November-07,AC-State St-30 mph-2nd Try,Paved,198,40.10625309,-88.24674863,226.4171777,40.1052579,-88.2467429,226.8308373,110.51,CAR HARD SUSPENSION,TRUE,44.36,0.07,2.86,181.2099247,GOOD
2,30,17:54:54 2019-November-07,AC-State St-30 mph-2nd Try,Paved,199,40.1052579,-88.2467429,226.8308373,40.10424617,-88.2467288,228.2464663,112.35,CAR HARD SUSPENSION,TRUE,44.5,0.1,4.21,266.746078,FAIR
2,30,17:55:02 2019-November-07,AC-State St-30 mph-2nd Try,Paved,200,40.10424617,-88.2467288,228.2464663,40.10329353,-88.24670648,227.9887962,105.8,CAR HARD SUSPENSION,TRUE,46.51,0.08,3.13,198.3171554,GOOD
