"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"18:35:52 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0065","40.0831321","-88.21195513","225.55999756","40.08436935","-88.20900173","225.90231323","286.93","CAR HARD SUSPENSION","true","0","0.08","","NOT MEASURED",
"18:35:54 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0066","40.08436935","-88.20900173","225.90231323","40.08362684","-88.20900522","232.03640366","82.45","CAR HARD SUSPENSION","true","0.34","0.09","","NOT MEASURED",
"18:36:01 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0067","40.08362684","-88.20900522","232.03640366","40.08367514","-88.20781315","227.030056","101.82","CAR HARD SUSPENSION","true","53.14","0.08","2.78","GOOD",
"18:36:08 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0068","40.08367514","-88.20781315","227.030056","40.08368258","-88.20654184","225.11178207","108.44","CAR HARD SUSPENSION","true","55.89","0.08","2.85","GOOD",
"18:36:15 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0069","40.08368258","-88.20654184","225.11178207","40.08369082","-88.2053212","223.31661606","104.12","CAR HARD SUSPENSION","true","54.12","0.07","2.63","GOOD",
"18:36:22 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0070","40.08369082","-88.2053212","223.31661606","40.08369923","-88.20411489","222.11721974","102.89","CAR HARD SUSPENSION","true","52.98","0.07","2.39","GOOD",
"18:36:29 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0071","40.08369923","-88.20411489","222.11721974","40.08370834","-88.20284411","221.32332993","108.39","CAR HARD SUSPENSION","true","56.05","0.07","2.25","GOOD",
"18:36:36 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0072","40.08370834","-88.20284411","221.32332993","40.08373224","-88.20161598","220.49679184","104.78","CAR HARD SUSPENSION","true","53.67","0.07","2.45","GOOD",
"18:36:43 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0073","40.08373224","-88.20161598","220.49679184","40.08372342","-88.20040218","222.54964828","103.53","CAR HARD SUSPENSION","true","53.16","0.07","2.71","GOOD",
"18:36:50 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0074","40.08372342","-88.20040218","222.54964828","40.08371143","-88.19915551","223.30263901","106.34","CAR HARD SUSPENSION","true","54.36","0.06","2.13","GOOD",
"18:36:57 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0075","40.08371143","-88.19915551","223.30263901","40.08371862","-88.19793817","222.98775864","103.83","CAR HARD SUSPENSION","true","53.41","0.07","2.4","GOOD",
"18:37:05 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0076","40.08371862","-88.19793817","222.98775864","40.08372645","-88.19659834","222.57833481","114.28","CAR HARD SUSPENSION","true","51.25","0.07","2.46","GOOD",
"18:37:13 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0077","40.08372645","-88.19659834","222.57833481","40.08373615","-88.19527157","223.74508286","113.17","CAR HARD SUSPENSION","true","51.62","0.07","2.65","GOOD",
"18:37:20 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0078","40.08373615","-88.19527157","223.74508286","40.08374547","-88.1940217","226.32735825","106.61","CAR HARD SUSPENSION","true","54.16","0.08","2.8","GOOD",
"18:37:27 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0079","40.08374547","-88.1940217","226.32735825","40.08375394","-88.19277824","228.23281479","106.06","CAR HARD SUSPENSION","true","54.86","0.07","2.48","GOOD",
"18:37:34 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0080","40.08375394","-88.19277824","228.23281479","40.08375541","-88.19154747","227.40212631","104.98","CAR HARD SUSPENSION","true","54.84","0.07","2.53","GOOD",
