"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"18:37:37 2019-November-02","PCC-BS-1st Try-Hard Sus","0081","40.08375584","-88.19113985","227.26455307","0",
"18:44:10 2019-November-02","PCC-BS-1st Try-Hard Sus","0081","40.09303689","-88.18712479","227.2155304","0",
"18:44:15 2019-November-02","PCC-BS-1st Try-Hard Sus","0083","40.08385949","-88.19107403","227.57296371","27.33",
"18:44:20 2019-November-02","PCC-BS-1st Try-Hard Sus","0083","40.08385656","-88.19154688","225.17932237","27.33",
"18:44:25 2019-November-02","PCC-BS-1st Try-Hard Sus","0084","40.08385333","-88.19198945","224.28630546","26.73",
"18:44:30 2019-November-02","PCC-BS-1st Try-Hard Sus","0084","40.08385023","-88.19241474","224.35390854","26.73",
"18:44:35 2019-November-02","PCC-BS-1st Try-Hard Sus","0084","40.08384692","-88.19286927","224.3468895","26.73",
"18:44:40 2019-November-02","PCC-BS-1st Try-Hard Sus","0085","40.08384342","-88.19334972","223.76236986","27.52",
"18:44:45 2019-November-02","PCC-BS-1st Try-Hard Sus","0085","40.08384006","-88.19381075","223.89895248","27.52",
"18:44:50 2019-November-02","PCC-BS-1st Try-Hard Sus","0086","40.08383695","-88.19423694","222.94363022","24.86",
"18:44:56 2019-November-02","PCC-BS-1st Try-Hard Sus","0086","40.08383412","-88.19462544","222.69118881","24.86",
"18:45:01 2019-November-02","PCC-BS-1st Try-Hard Sus","0086","40.08383124","-88.19502021","222.354702","24.86",
"18:45:06 2019-November-02","PCC-BS-1st Try-Hard Sus","0087","40.08382831","-88.19542231","222.93569565","25.25",
"18:45:11 2019-November-02","PCC-BS-1st Try-Hard Sus","0087","40.08382533","-88.1958314","222.9529686","25.25",
"18:45:16 2019-November-02","PCC-BS-1st Try-Hard Sus","0087","40.08382225","-88.19625285","222.52389145","25.25",
"18:45:21 2019-November-02","PCC-BS-1st Try-Hard Sus","0088","40.08381903","-88.19661064","220.40243149","24.67",
"18:45:26 2019-November-02","PCC-BS-1st Try-Hard Sus","0088","40.08381444","-88.19697498","219.98073959","24.67",
"18:45:31 2019-November-02","PCC-BS-1st Try-Hard Sus","0088","40.08380939","-88.19739135","219.10000229","24.67",
"18:45:36 2019-November-02","PCC-BS-1st Try-Hard Sus","0089","40.08380496","-88.1978308","218.90450668","27.01",
"18:45:41 2019-November-02","PCC-BS-1st Try-Hard Sus","0089","40.08380188","-88.19826772","220.37309183","27.01",
"18:45:46 2019-November-02","PCC-BS-1st Try-Hard Sus","0089","40.08379948","-88.19872017","220.46932602","27.01",
"18:45:51 2019-November-02","PCC-BS-1st Try-Hard Sus","0090","40.08379715","-88.19916014","218.89944077","27.74",
"18:45:56 2019-November-02","PCC-BS-1st Try-Hard Sus","0090","40.08379465","-88.1996321","217.99465561","27.74",
"18:46:01 2019-November-02","PCC-BS-1st Try-Hard Sus","0090","40.08380102","-88.20009596","217.03182602","27.74",
"18:46:06 2019-November-02","PCC-BS-1st Try-Hard Sus","0091","40.08381167","-88.20056144","217.48189926","29.65",
"18:46:11 2019-November-02","PCC-BS-1st Try-Hard Sus","0091","40.08382296","-88.20105482","218.15237045","29.65",
"18:46:16 2019-November-02","PCC-BS-1st Try-Hard Sus","0092","40.08383351","-88.20151541","217.66176987","28.01",
"18:46:21 2019-November-02","PCC-BS-1st Try-Hard Sus","0092","40.08382825","-88.20195192","216.9352684","28.01",
"18:46:26 2019-November-02","PCC-BS-1st Try-Hard Sus","0092","40.08381766","-88.20240182","216.64834213","28.01",
"18:46:31 2019-November-02","PCC-BS-1st Try-Hard Sus","0093","40.08380633","-88.20287556","217.38332748","28.38",
"18:46:36 2019-November-02","PCC-BS-1st Try-Hard Sus","0093","40.08379663","-88.20342747","217.93221664","28.38",
"18:46:41 2019-November-02","PCC-BS-1st Try-Hard Sus","0093","40.0837942","-88.20379877","217.36458634","28.38",
"18:46:46 2019-November-02","PCC-BS-1st Try-Hard Sus","0094","40.08379123","-88.20425324","217.51198789","27.82",
"18:46:51 2019-November-02","PCC-BS-1st Try-Hard Sus","0094","40.08378774","-88.20478862","217.9837037","27.82",
"18:46:56 2019-November-02","PCC-BS-1st Try-Hard Sus","0095","40.08378538","-88.20515853","218.76595688","28.59",
"18:47:01 2019-November-02","PCC-BS-1st Try-Hard Sus","0095","40.08378289","-88.20563886","220.42428207","28.59",
"18:47:06 2019-November-02","PCC-BS-1st Try-Hard Sus","0095","40.08378003","-88.20619163","220.76400375","28.59",
"18:47:11 2019-November-02","PCC-BS-1st Try-Hard Sus","0096","40.08377817","-88.20655182","222.12789536","27.75",
"18:47:16 2019-November-02","PCC-BS-1st Try-Hard Sus","0096","40.08377534","-88.207099","223.82455063","27.75",
"18:47:21 2019-November-02","PCC-BS-1st Try-Hard Sus","0096","40.08377329","-88.20754843","225.18966293","27.75",
"18:47:26 2019-November-02","PCC-BS-1st Try-Hard Sus","0097","40.0837716","-88.20796272","226.11666489","26.88",
"18:47:31 2019-November-02","PCC-BS-1st Try-Hard Sus","0097","40.08377032","-88.20827722","226.50039291","26.88",
