"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"18:44:11 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0081","40.09303689","-88.18712479","227.2155304","40.08432472","-88.18975966","228.29328918","993.16","CAR HARD SUSPENSION","true","0","0.03","","NOT MEASURED",
"18:44:12 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0082","40.08432472","-88.18975966","228.29328918","40.08390415","-88.19061792","226.79684067","86.83","CAR HARD SUSPENSION","true","0.32","0.04","","NOT MEASURED",
"18:44:23 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0083","40.08390415","-88.19061792","226.79684067","40.08385457","-88.19181976","224.51961855","102.65","CAR HARD SUSPENSION","true","27.33","0.05","2.72","GOOD",
"18:44:37 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0084","40.08385457","-88.19181976","224.51961855","40.08384553","-88.19306052","224.09260571","105.82","CAR HARD SUSPENSION","true","26.73","0.04","2.38","GOOD",
"18:44:50 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0085","40.08384553","-88.19306052","224.09260571","40.08383695","-88.19423694","222.94363022","100.34","CAR HARD SUSPENSION","true","27.52","0.04","2.33","GOOD",
"18:45:05 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0086","40.08383695","-88.19423694","222.94363022","40.08382831","-88.19542231","222.93569565","101.1","CAR HARD SUSPENSION","true","24.86","0.04","2.44","GOOD",
"18:45:20 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0087","40.08382831","-88.19542231","222.93569565","40.08381903","-88.19661064","220.40243149","101.35","CAR HARD SUSPENSION","true","25.25","0.04","2.37","GOOD",
"18:45:35 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0088","40.08381903","-88.19661064","220.40243149","40.08380496","-88.1978308","218.90450668","104.08","CAR HARD SUSPENSION","true","24.67","0.04","2.59","GOOD",
"18:45:49 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0089","40.08380496","-88.1978308","218.90450668","40.08379764","-88.19906782","219.05624008","105.5","CAR HARD SUSPENSION","true","27.01","0.04","2.41","GOOD",
"18:46:02 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0090","40.08379764","-88.19906782","219.05624008","40.08380508","-88.20027325","216.84920883","102.81","CAR HARD SUSPENSION","true","27.74","0.03","1.94","VERY GOOD",
"18:46:15 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0091","40.08380508","-88.20027325","216.84920883","40.08383351","-88.20151541","217.66176987","105.99","CAR HARD SUSPENSION","true","29.65","0.04","2.28","GOOD",
"18:46:29 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0092","40.08383351","-88.20151541","217.66176987","40.08380897","-88.20276522","216.9607811","106.63","CAR HARD SUSPENSION","true","28.01","0.04","2.44","GOOD",
"18:46:42 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0093","40.08380897","-88.20276522","216.9607811","40.083793","-88.2039826","217.39249313","103.84","CAR HARD SUSPENSION","true","28.38","0.04","2.32","GOOD",
"18:46:55 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0094","40.083793","-88.2039826","217.39249313","40.08378538","-88.20515853","218.76595688","100.29","CAR HARD SUSPENSION","true","27.82","0.05","2.79","GOOD",
"18:47:08 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0095","40.08378538","-88.20515853","218.76595688","40.08377907","-88.20637709","221.70785141","103.93","CAR HARD SUSPENSION","true","28.59","0.05","2.69","GOOD",
"18:47:22 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0096","40.08377907","-88.20637709","221.70785141","40.08377293","-88.20763689","225.55483627","107.45","CAR HARD SUSPENSION","true","27.75","0.05","2.56","GOOD",
"18:47:36 2019-November-02","PCC-BS-1st Try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0097","40.08377293","-88.20763689","225.55483627","40.08376799","-88.20884321","226.91830063","102.88","CAR HARD SUSPENSION","true","26.88","0.04","2.42","GOOD",
