"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"19:02:04 2019-November-02","PCC-BS-1st Try-SUV Sus","0146","40.08375532","-88.19162467","223.16707993","0",
"19:02:09 2019-November-02","PCC-BS-1st Try-SUV Sus","0146","40.08375584","-88.19098718","224.39596176","0",
"19:06:53 2019-November-02","PCC-BS-1st Try-SUV Sus","0146","40.08958781","-88.18661909","225.53207397","0",
"19:06:58 2019-November-02","PCC-BS-1st Try-SUV Sus","0148","40.08385949","-88.19112994","227.47561264","27.36",
"19:07:03 2019-November-02","PCC-BS-1st Try-SUV Sus","0148","40.0838561","-88.19161005","225.83512169","27.36",
"19:07:08 2019-November-02","PCC-BS-1st Try-SUV Sus","0148","40.08385282","-88.19205994","225.55939047","27.36",
"19:07:13 2019-November-02","PCC-BS-1st Try-SUV Sus","0149","40.08384941","-88.19252788","225.04859372","28.81",
"19:07:18 2019-November-02","PCC-BS-1st Try-SUV Sus","0149","40.083846","-88.1929952","224.58550367","28.81",
"19:07:23 2019-November-02","PCC-BS-1st Try-SUV Sus","0150","40.08384244","-88.19348412","224.4238785","28.93",
"19:07:28 2019-November-02","PCC-BS-1st Try-SUV Sus","0150","40.08383891","-88.19396749","223.8230791","28.93",
"19:07:33 2019-November-02","PCC-BS-1st Try-SUV Sus","0150","40.08383554","-88.19443035","223.4234709","28.93",
"19:07:38 2019-November-02","PCC-BS-1st Try-SUV Sus","0151","40.08383218","-88.19489092","222.4949013","28.59",
"19:07:43 2019-November-02","PCC-BS-1st Try-SUV Sus","0151","40.08382878","-88.19535814","221.9756449","28.59",
"19:07:48 2019-November-02","PCC-BS-1st Try-SUV Sus","0152","40.08382547","-88.19581146","222.7946434","27.65",
"19:07:53 2019-November-02","PCC-BS-1st Try-SUV Sus","0152","40.08382147","-88.19635969","222.35848618","27.65",
"19:07:58 2019-November-02","PCC-BS-1st Try-SUV Sus","0152","40.08381771","-88.19671551","223.00735092","27.65",
"19:08:03 2019-November-02","PCC-BS-1st Try-SUV Sus","0153","40.08381222","-88.19715088","220.77251479","28.19",
"19:08:08 2019-November-02","PCC-BS-1st Try-SUV Sus","0153","40.08380732","-88.19759668","221.50617373","28.19",
"19:08:13 2019-November-02","PCC-BS-1st Try-SUV Sus","0153","40.08380249","-88.19807515","224.02480698","28.19",
"19:08:18 2019-November-02","PCC-BS-1st Try-SUV Sus","0154","40.08380046","-88.19853627","222.10042953","28.46",
"19:08:23 2019-November-02","PCC-BS-1st Try-SUV Sus","0154","40.08379789","-88.19902119","222.39889145","28.46",
"19:08:28 2019-November-02","PCC-BS-1st Try-SUV Sus","0155","40.0837949","-88.1995841","221.23220444","27.16",
"19:08:33 2019-November-02","PCC-BS-1st Try-SUV Sus","0155","40.08379949","-88.20002914","221.58504868","27.16",
"19:08:38 2019-November-02","PCC-BS-1st Try-SUV Sus","0155","40.08380897","-88.20044352","221.17312241","27.16",
"19:08:43 2019-November-02","PCC-BS-1st Try-SUV Sus","0156","40.08381939","-88.20089849","220.89535141","27.25",
"19:08:48 2019-November-02","PCC-BS-1st Try-SUV Sus","0156","40.08382981","-88.20135369","220.22390366","27.25",
"19:08:53 2019-November-02","PCC-BS-1st Try-SUV Sus","0156","40.08383184","-88.20178658","218.57625961","27.25",
"19:08:58 2019-November-02","PCC-BS-1st Try-SUV Sus","0157","40.08382147","-88.20224238","217.63375473","28.53",
"19:09:03 2019-November-02","PCC-BS-1st Try-SUV Sus","0157","40.08381037","-88.20270669","217.69796371","28.53",
"19:09:08 2019-November-02","PCC-BS-1st Try-SUV Sus","0158","40.08380039","-88.20319115","218.81203842","27.98",
"19:09:13 2019-November-02","PCC-BS-1st Try-SUV Sus","0158","40.08379526","-88.20363745","219.73134287","27.98",
"19:09:18 2019-November-02","PCC-BS-1st Try-SUV Sus","0158","40.08379231","-88.20408912","219.83797836","27.98",
"19:09:23 2019-November-02","PCC-BS-1st Try-SUV Sus","0159","40.08378929","-88.20455136","220.35305405","26.29",
"19:09:28 2019-November-02","PCC-BS-1st Try-SUV Sus","0159","40.08378653","-88.20497432","219.16726303","26.29",
"19:09:33 2019-November-02","PCC-BS-1st Try-SUV Sus","0159","40.08378423","-88.20538051","220.50606918","26.29",
"19:09:38 2019-November-02","PCC-BS-1st Try-SUV Sus","0160","40.08378182","-88.20584648","222.79323959","27.63",
"19:09:43 2019-November-02","PCC-BS-1st Try-SUV Sus","0160","40.08377935","-88.20632377","222.59188461","27.63",
"19:09:48 2019-November-02","PCC-BS-1st Try-SUV Sus","0160","40.08377721","-88.20673626","223.1606102","27.63",
"19:09:53 2019-November-02","PCC-BS-1st Try-SUV Sus","0161","40.08377518","-88.20712973","223.4687767","25.33",
"19:09:58 2019-November-02","PCC-BS-1st Try-SUV Sus","0161","40.08377326","-88.20755556","222.17446518","25.33",
"19:10:03 2019-November-02","PCC-BS-1st Try-SUV Sus","0161","40.0837716","-88.20796239","222.64638901","25.33",
