"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"19:06:53 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0146","40.08958781","-88.18661909","225.53207397","40.08428401","-88.1899133","228.25639343","652.52","SUV","true","0","0.05","","NOT MEASURED",
"19:06:55 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0147","40.08428401","-88.1899133","228.25639343","40.08391036","-88.19094951","226.78359604","97.64","SUV","true","0.09","0.05","","NOT MEASURED",
"19:07:08 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0148","40.08391036","-88.19094951","226.78359604","40.08385213","-88.19215448","225.53897559","102.97","SUV","true","27.36","0.05","3.68","GOOD",
"19:07:21 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0149","40.08385213","-88.19215448","225.53897559","40.08384315","-88.19338591","224.81072342","105.03","SUV","true","28.81","0.04","3.43","GOOD",
"19:07:34 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0150","40.08384315","-88.19338591","224.81072342","40.08383422","-88.19461141","223.09120348","104.53","SUV","true","28.93","0.04","3.37","GOOD",
"19:07:47 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0151","40.08383422","-88.19461141","223.09120348","40.08382547","-88.19581146","222.7946434","102.36","SUV","true","28.59","0.04","3.29","GOOD",
"19:08:01 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0152","40.08382547","-88.19581146","222.7946434","40.08381331","-88.19706392","220.93732814","106.83","SUV","true","27.65","0.04","3.27","GOOD",
"19:08:14 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0153","40.08381331","-88.19706392","220.93732814","40.08380192","-88.19826087","223.34371567","102.09","SUV","true","28.19","0.04","3.64","GOOD",
"19:08:27 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0154","40.08380192","-88.19826087","223.34371567","40.0837954","-88.19949068","220.95199203","104.89","SUV","true","28.46","0.04","3.39","GOOD",
"19:08:41 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0155","40.0837954","-88.19949068","220.95199203","40.08381511","-88.20071143","220.79482651","104.14","SUV","true","27.16","0.03","3.21","GOOD",
"19:08:55 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0156","40.08381511","-88.20071143","220.79482651","40.08382787","-88.20196977","218.21377182","107.33","SUV","true","27.25","0.04","3.6","GOOD",
"19:09:08 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0157","40.08382787","-88.20196977","218.21377182","40.08380039","-88.20319115","218.81203842","104.21","SUV","true","28.53","0.04","3.52","GOOD",
"19:09:21 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0158","40.08380039","-88.20319115","218.81203842","40.0837905","-88.20436586","219.8937645","100.2","SUV","true","27.98","0.05","3.85","GOOD",
"19:09:35 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0159","40.0837905","-88.20436586","219.8937645","40.08378325","-88.20556934","222.13845444","102.65","SUV","true","26.29","0.05","3.86","GOOD",
"19:09:49 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0160","40.08378325","-88.20556934","222.13845444","40.08377678","-88.20682033","223.38082504","106.7","SUV","true","27.63","0.05","3.76","GOOD",
