"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"18:52:31 2019-November-02","PCC-BS-2nd try-Hard Sus","0114","40.08375541","-88.19154776","224.96273422","0",
"18:52:36 2019-November-02","PCC-BS-2nd try-Hard Sus","0114","40.08375584","-88.19088939","223.72964096","0",
"18:54:38 2019-November-02","PCC-BS-2nd try-Hard Sus","0114","40.09316916","-88.18733558","225.10726929","0",
"18:54:43 2019-November-02","PCC-BS-2nd try-Hard Sus","0117","40.08385669","-88.19152907","228.78853989","28.37",
"18:54:48 2019-November-02","PCC-BS-2nd try-Hard Sus","0117","40.08385317","-88.19201229","228.51635299","28.37",
"18:54:53 2019-November-02","PCC-BS-2nd try-Hard Sus","0118","40.08384954","-88.19251063","228.52027886","27.94",
"18:54:58 2019-November-02","PCC-BS-2nd try-Hard Sus","0118","40.08384603","-88.19299098","228.15337851","27.94",
"18:55:03 2019-November-02","PCC-BS-2nd try-Hard Sus","0118","40.08384287","-88.19342451","227.99036311","27.94",
"18:55:08 2019-November-02","PCC-BS-2nd try-Hard Sus","0119","40.08383945","-88.1938934","228.38566147","29.62",
"18:55:13 2019-November-02","PCC-BS-2nd try-Hard Sus","0119","40.08383605","-88.1943606","228.25112534","29.62",
"18:55:18 2019-November-02","PCC-BS-2nd try-Hard Sus","0119","40.08383246","-88.19485277","227.84310532","29.62",
"18:55:23 2019-November-02","PCC-BS-2nd try-Hard Sus","0120","40.08382905","-88.19532019","228.36288071","28.82",
"18:55:28 2019-November-02","PCC-BS-2nd try-Hard Sus","0120","40.08382568","-88.19578226","227.38723373","28.82",
"18:55:33 2019-November-02","PCC-BS-2nd try-Hard Sus","0121","40.08382248","-88.19622145","225.98055649","25.93",
"18:55:38 2019-November-02","PCC-BS-2nd try-Hard Sus","0121","40.08381861","-88.19664392","225.65127182","25.93",
"18:55:43 2019-November-02","PCC-BS-2nd try-Hard Sus","0121","40.08381353","-88.19704659","227.05691147","25.93",
"18:55:48 2019-November-02","PCC-BS-2nd try-Hard Sus","0122","40.08380864","-88.1974657","226.846035","26.72",
"18:55:53 2019-November-02","PCC-BS-2nd try-Hard Sus","0122","40.08380422","-88.19790321","226.69179916","26.72",
"18:55:58 2019-November-02","PCC-BS-2nd try-Hard Sus","0122","40.08380138","-88.19836313","226.41274643","26.72",
"18:56:03 2019-November-02","PCC-BS-2nd try-Hard Sus","0123","40.08379888","-88.1988335","225.66006088","27.63",
"18:56:08 2019-November-02","PCC-BS-2nd try-Hard Sus","0123","40.08379637","-88.19930721","225.98836899","27.63",
"18:56:13 2019-November-02","PCC-BS-2nd try-Hard Sus","0123","40.08379415","-88.19972585","224.97793198","27.63",
"18:56:18 2019-November-02","PCC-BS-2nd try-Hard Sus","0124","40.08380239","-88.20015607","225.01916869","28.23",
"18:56:23 2019-November-02","PCC-BS-2nd try-Hard Sus","0124","40.08381306","-88.20062226","222.09566879","28.23",
"18:56:28 2019-November-02","PCC-BS-2nd try-Hard Sus","0125","40.08382357","-88.20108122","221.29977036","29.48",
"18:56:33 2019-November-02","PCC-BS-2nd try-Hard Sus","0125","40.08383377","-88.20152673","222.07296371","29.48",
"18:56:38 2019-November-02","PCC-BS-2nd try-Hard Sus","0125","40.08382566","-88.2020673","220.79873276","29.48",
"18:56:43 2019-November-02","PCC-BS-2nd try-Hard Sus","0126","40.08381472","-88.20252492","220.78719711","28.62",
"18:56:48 2019-November-02","PCC-BS-2nd try-Hard Sus","0126","40.08380421","-88.20297685","222.26736069","28.62",
"18:56:53 2019-November-02","PCC-BS-2nd try-Hard Sus","0127","40.08379646","-88.20345289","222.50667953","26.36",
"18:56:58 2019-November-02","PCC-BS-2nd try-Hard Sus","0127","40.08379353","-88.2039015","222.27145004","26.36",
"18:57:03 2019-November-02","PCC-BS-2nd try-Hard Sus","0127","40.08379085","-88.20431168","223.61397934","26.36",
"18:57:08 2019-November-02","PCC-BS-2nd try-Hard Sus","0128","40.08378818","-88.2047205","222.84719467","26.62",
"18:57:13 2019-November-02","PCC-BS-2nd try-Hard Sus","0128","40.08378541","-88.20515274","223.11739731","26.62",
"18:57:18 2019-November-02","PCC-BS-2nd try-Hard Sus","0128","40.08378305","-88.20560954","223.24496078","26.62",
"18:57:23 2019-November-02","PCC-BS-2nd try-Hard Sus","0129","40.08378059","-88.20608356","224.34970077","26.55",
"18:57:28 2019-November-02","PCC-BS-2nd try-Hard Sus","0129","40.0837783","-88.20652627","224.68684515","26.55",
"18:57:33 2019-November-02","PCC-BS-2nd try-Hard Sus","0129","40.0837762","-88.2069324","225.95339584","26.55",
"18:57:38 2019-November-02","PCC-BS-2nd try-Hard Sus","0130","40.08377432","-88.20729573","226.19118881","27.74",
"18:57:43 2019-November-02","PCC-BS-2nd try-Hard Sus","0130","40.08377227","-88.20779899","226.65188217","27.74",
