"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"18:54:38 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0114","40.09316916","-88.18733558","225.10726929","40.08414423","-88.19056122","228.81352234","1039.2","CAR HARD SUSPENSION","true","0","0.05","","NOT MEASURED",
"18:54:39 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0115","40.08414423","-88.19056122","228.81352234","40.08391187","-88.19112503","227.47603989","54.57","CAR HARD SUSPENSION","true","0.33","0.04","","NOT MEASURED",
"18:54:41 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0116","40.08391187","-88.19112503","227.47603989","40.08391727","-88.19131907","229.4317894","16.56","CAR HARD SUSPENSION","true","10.1","0.05","","NOT MEASURED",
"18:54:53 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0117","40.08391727","-88.19131907","229.4317894","40.08384954","-88.19251063","228.52027886","101.9","CAR HARD SUSPENSION","true","28.37","0.04","2.48","GOOD",
"18:55:06 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0118","40.08384954","-88.19251063","228.52027886","40.08384087","-88.19369957","228.33043907","101.41","CAR HARD SUSPENSION","true","27.94","0.04","2.26","GOOD",
"18:55:19 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0119","40.08384087","-88.19369957","228.33043907","40.08383181","-88.19494204","227.53108583","105.97","CAR HARD SUSPENSION","true","29.62","0.04","2.3","GOOD",
"18:55:32 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0120","40.08383181","-88.19494204","227.53108583","40.08382313","-88.19613276","226.23946762","101.56","CAR HARD SUSPENSION","true","28.82","0.04","2.23","GOOD",
"18:55:47 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0121","40.08382313","-88.19613276","226.23946762","40.08380956","-88.19737455","226.86410141","105.92","CAR HARD SUSPENSION","true","25.93","0.04","2.36","GOOD",
"18:56:01 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0122","40.08380956","-88.19737455","226.86410141","40.08379992","-88.19863874","226.09499741","107.82","CAR HARD SUSPENSION","true","26.72","0.05","2.72","GOOD",
"18:56:14 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0123","40.08379992","-88.19863874","226.09499741","40.08379449","-88.19981821","224.66787338","100.59","CAR HARD SUSPENSION","true","27.63","0.04","2.1","GOOD",
"18:56:27 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0124","40.08379449","-88.19981821","224.66787338","40.0838216","-88.20099512","221.22542953","100.42","CAR HARD SUSPENSION","true","28.23","0.04","2.12","GOOD",
"18:56:40 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0125","40.0838216","-88.20099512","221.22542953","40.0838213","-88.20224964","220.52218246","106.99","CAR HARD SUSPENSION","true","29.48","0.05","2.52","GOOD",
"18:56:53 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0126","40.0838213","-88.20224964","220.52218246","40.08379646","-88.20345289","222.50667953","102.66","CAR HARD SUSPENSION","true","28.62","0.04","2.25","GOOD",
"18:57:07 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0127","40.08379646","-88.20345289","222.50667953","40.08378872","-88.20463864","222.72445297","101.13","CAR HARD SUSPENSION","true","26.36","0.05","2.89","GOOD",
"18:57:21 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0128","40.08378872","-88.20463864","222.72445297","40.0837816","-88.20588857","224.24513664","106.61","CAR HARD SUSPENSION","true","26.62","0.05","2.96","GOOD",
"18:57:35 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0129","40.0837816","-88.20588857","224.24513664","40.08377535","-88.20709725","226.16500473","103.09","CAR HARD SUSPENSION","true","26.55","0.04","2.52","GOOD",
"18:57:48 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0130","40.08377535","-88.20709725","226.16500473","40.08377034","-88.20827346","228.54543686","100.32","CAR HARD SUSPENSION","true","27.74","0.05","2.65","GOOD",
