"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"17:32:16 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0002","40.09198277","-88.18409612","230.02523804","40.08442826","-88.18989885","226.77000427","973.95","SUV","true","0","0.06","","NOT MEASURED",
"17:32:19 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0003","40.08442826","-88.18989885","226.77000427","40.08400377","-88.19081565","229.38973618","91.3","SUV","true","5.39","0.07","","NOT MEASURED",
"17:32:35 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0004","40.08400377","-88.19081565","229.38973618","40.08385307","-88.19202589","226.85523965","104.57","SUV","true","22.48","0.09","5.87","FAIR",
"17:32:50 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0005","40.08385307","-88.19202589","226.85523965","40.08384434","-88.19322324","225.9799296","102.12","SUV","true","24.22","0.07","5.13","FAIR",
"17:33:05 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0006","40.08384434","-88.19322324","225.9799296","40.08383532","-88.19446077","224.62527511","105.55","SUV","true","24.9","0.08","5.42","FAIR",
"17:33:19 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0007","40.08383532","-88.19446077","224.62527511","40.08382642","-88.19568102","223.17845786","104.08","SUV","true","26.5","0.11","6.78","POOR",
"17:33:34 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0008","40.08382642","-88.19568102","223.17845786","40.08381496","-88.19693374","223.1697353","106.85","SUV","true","25.72","0.11","6.63","POOR",
"17:33:50 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0009","40.08381496","-88.19693374","223.1697353","40.08380202","-88.19818208","222.99924119","106.48","SUV","true","24.06","0.1","6.64","POOR",
"17:34:05 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0010","40.08380202","-88.19818208","222.99924119","40.0837958","-88.19941404","222.48940917","105.07","SUV","true","25.2","0.1","6.57","POOR",
"17:34:19 2019-November-02","PCC-GS-1st try","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0011","40.0837958","-88.19941404","222.48940917","40.08381244","-88.20059505","221.14585896","100.74","SUV","true","25.29","0.08","5.57","FAIR",
