"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"17:36:06 2019-November-02","PCC-GS-1st try","0019","40.08376632","-88.20918452","229.19143295","0",
"17:42:09 2019-November-02","PCC-GS-1st try","0019","40.0824014","-88.20919436","227.4264679","0",
"17:42:14 2019-November-02","PCC-GS-1st try","0021","40.08367289","-88.20873791","228.29281235","40.57",
"17:42:19 2019-November-02","PCC-GS-1st try","0021","40.08367456","-88.20805133","228.97878647","40.57",
"17:42:24 2019-November-02","PCC-GS-1st try","0022","40.08367785","-88.20729595","228.3156395","49.12",
"17:42:29 2019-November-02","PCC-GS-1st try","0023","40.08368317","-88.20644706","227.37807846","51.1",
"17:42:34 2019-November-02","PCC-GS-1st try","0023","40.0836888","-88.20561054","225.81863022","51.1",
"17:42:39 2019-November-02","PCC-GS-1st try","0024","40.08369481","-88.20474915","225.38802719","53.62",
"17:42:44 2019-November-02","PCC-GS-1st try","0025","40.08370092","-88.20387213","224.79903793","55.02",
"17:42:49 2019-November-02","PCC-GS-1st try","0025","40.08370716","-88.20297771","224.50808334","55.02",
"17:42:54 2019-November-02","PCC-GS-1st try","0026","40.08372006","-88.20213858","224.36989975","54.85",
"17:42:59 2019-November-02","PCC-GS-1st try","0027","40.0837303","-88.20127276","222.72860336","53.94",
"17:43:04 2019-November-02","PCC-GS-1st try","0028","40.08372324","-88.20037833","224.70980453","51.63",
"17:43:09 2019-November-02","PCC-GS-1st try","0028","40.08370911","-88.19954657","224.92635727","51.63",
"17:43:14 2019-November-02","PCC-GS-1st try","0029","40.0837142","-88.19868795","225.27285385","52.68",
"17:43:19 2019-November-02","PCC-GS-1st try","0030","40.08371929","-88.19782397","224.40719223","53.97",
"17:43:24 2019-November-02","PCC-GS-1st try","0030","40.08372455","-88.19692308","225.15774155","53.97",
"17:43:29 2019-November-02","PCC-GS-1st try","0031","40.08373043","-88.19603945","225.73513412","54.95",
"17:43:34 2019-November-02","PCC-GS-1st try","0032","40.08373724","-88.19512539","226.18624496","56.68",
"17:43:39 2019-November-02","PCC-GS-1st try","0033","40.08374413","-88.19420143","227.26717758","56.98",
"17:43:44 2019-November-02","PCC-GS-1st try","0033","40.08375108","-88.19326908","228.39083481","56.98",
"17:43:49 2019-November-02","PCC-GS-1st try","0034","40.0837545","-88.19231172","228.3448143","57.53",
