"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"18:00:23 2019-November-02","PCC-GS-2nd trt","0050","40.08377168","-88.20794281","224.24288559","0.24",
"18:00:28 2019-November-02","PCC-GS-2nd trt","0050","40.08377","-88.20835605","224.1774559","0.24",
"18:00:33 2019-November-02","PCC-GS-2nd trt","0050","40.08376819","-88.20880224","225.36745834","0.24",
"18:02:57 2019-November-02","PCC-GS-2nd trt","0050","40.08437168","-88.2087271","225.96640015","0.24",
"18:03:02 2019-November-02","PCC-GS-2nd trt","0051","40.08367305","-88.20867094","228.48617172","37.95",
"18:03:07 2019-November-02","PCC-GS-2nd trt","0051","40.08367472","-88.20798627","226.00118637","37.95",
"18:03:12 2019-November-02","PCC-GS-2nd trt","0052","40.08367777","-88.20730492","224.51852036","50.23",
"18:03:17 2019-November-02","PCC-GS-2nd trt","0053","40.08368379","-88.20634779","225.7689476","56.29",
"18:03:22 2019-November-02","PCC-GS-2nd trt","0053","40.08369017","-88.20541346","225.45553207","56.29",
"18:03:27 2019-November-02","PCC-GS-2nd trt","0054","40.08369683","-88.20445839","224.82754135","57.18",
"18:03:32 2019-November-02","PCC-GS-2nd trt","0055","40.08370333","-88.20352749","225.23183823","57.65",
"18:03:37 2019-November-02","PCC-GS-2nd trt","0055","40.08371118","-88.2025723","224.33333969","57.65",
"18:03:42 2019-November-02","PCC-GS-2nd trt","0056","40.08373224","-88.20167501","223.14583969","56.9",
"18:03:47 2019-November-02","PCC-GS-2nd trt","0057","40.08372642","-88.20078135","224.25204086","53.98",
"18:03:52 2019-November-02","PCC-GS-2nd trt","0058","40.08371851","-88.19992218","225.78145981","53.48",
"18:03:57 2019-November-02","PCC-GS-2nd trt","0058","40.08371203","-88.19905364","225.8592186","53.48",
"18:04:02 2019-November-02","PCC-GS-2nd trt","0059","40.08371707","-88.19820326","225.77755356","55.48",
"18:04:07 2019-November-02","PCC-GS-2nd trt","0060","40.08372253","-88.19726919","226.57479124","56.69",
"18:04:12 2019-November-02","PCC-GS-2nd trt","0060","40.08372811","-88.19635056","226.06832504","56.69",
"18:04:17 2019-November-02","PCC-GS-2nd trt","0061","40.08373483","-88.19544893","226.31948471","56.29",
"18:04:22 2019-November-02","PCC-GS-2nd trt","0062","40.08374163","-88.19453666","227.27401352","56.46",
"18:04:27 2019-November-02","PCC-GS-2nd trt","0062","40.08374871","-88.19358707","228.21639633","56.46",
"18:04:32 2019-November-02","PCC-GS-2nd trt","0063","40.08375411","-88.19263897","228.9842186","56.58",
"18:04:37 2019-November-02","PCC-GS-2nd trt","0064","40.08375514","-88.19177306","229.66292953","42.4",
"18:04:42 2019-November-02","PCC-GS-2nd trt","0064","40.08375584","-88.19106413","229.90255356","42.4",
