"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"18:02:58 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0050","40.08437168","-88.2087271","225.96640015","40.08372939","-88.2088727","226.3102684","72.39","SUV","true","0.24","0.06","","NOT MEASURED",
"18:03:09 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0051","40.08372939","-88.2088727","226.3102684","40.08367551","-88.20766509","226.21535873","103.17","SUV","true","37.95","0.11","5.97","FAIR",
"18:03:17 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0052","40.08367551","-88.20766509","226.21535873","40.08368379","-88.20634779","225.7689476","112.36","SUV","true","50.23","0.09","4.68","FAIR",
"18:03:24 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0053","40.08368379","-88.20634779","225.7689476","40.08369289","-88.20502449","225.66036606","112.87","SUV","true","56.29","0.09","4.29","FAIR",
"18:03:31 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0054","40.08369289","-88.20502449","225.66036606","40.0837021","-88.20370293","225.00985336","112.72","SUV","true","57.18","0.08","3.92","GOOD",
"18:03:38 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0055","40.0837021","-88.20370293","225.00985336","40.08371241","-88.20245479","223.49105453","106.46","SUV","true","57.65","0.08","3.93","GOOD",
"18:03:45 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0056","40.08371241","-88.20245479","223.49105453","40.08372901","-88.20110929","223.35598373","114.77","SUV","true","56.9","0.09","4.24","FAIR",
"18:03:52 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0057","40.08372901","-88.20110929","223.35598373","40.08371851","-88.19992218","225.78145981","101.26","SUV","true","53.98","0.09","4.41","FAIR",
"18:04:00 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0058","40.08371851","-88.19992218","225.78145981","40.08371477","-88.19859111","226.1928978","113.53","SUV","true","53.48","0.08","4.39","FAIR",
"18:04:07 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0059","40.08371477","-88.19859111","226.1928978","40.08372253","-88.19726919","226.57479124","112.75","SUV","true","55.48","0.08","4.22","FAIR",
"18:04:14 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0060","40.08372253","-88.19726919","226.57479124","40.08373055","-88.19602359","225.96139145","106.24","SUV","true","56.69","0.09","4.56","FAIR",
"18:04:21 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0061","40.08373055","-88.19602359","225.96139145","40.08374023","-88.1947244","226.59200668","110.82","SUV","true","56.29","0.09","4.47","FAIR",
"18:04:28 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0062","40.08374023","-88.1947244","226.59200668","40.08375001","-88.19341179","228.30874252","111.96","SUV","true","56.46","0.09","4.37","FAIR",
"18:04:35 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0063","40.08375001","-88.19341179","228.30874252","40.08375472","-88.1921252","229.35561752","109.74","SUV","true","56.58","0.09","4.57","FAIR",
"18:04:44 2019-November-02","PCC-GS-2nd trt","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0064","40.08375472","-88.1921252","229.35561752","40.08375584","-88.19091698","229.63521957","103.05","SUV","true","42.4","0.08","4.83","FAIR",
