st,pci,iri
Danies,14,4.26
Charleston,16,4.6
Danies,21,5.01
Danies,25,4.38
john,26,4.23
Charleston,29,4.3
john,32,3.41
William,32,5.06
Prospect,35,2.835
Prospect,36,3.25
Prospect,37,3.735
Prospect,37,2.44
Camridge,37,4.12
Prospect,38,3.27
Prospect,39,2.68
Prospect,40,2.24
Danies,40,5.55
Camridge,40,4.013333333
john,43,3.025
Danies,43,5.375
john,44,3.5
Matts,44,1.78
SHERID,44,4.205
CVYCHD,44,3.05
john,46,2.8
Camridge,46,3.56
WSTRNA,47,4.06
Matts,49,1.95
Matts,49,2.265
Kirby,50,2.58
Matts,50,2.25
Matts,50,2.37
john,51,2.97
john,52,2.98
Matts,52,3.27
Matts,52,1.8
Kirby,53,2.02
William,53,4.33
Mayflower,53,4.63
Charleston,54,4.4
Matts,56,2.22
Mayflower,56,4.086666667
WSTLWA,60,3.64
Kirby,63,2.395
Mayflower,63,3.8
OXFRDD,63,3.17
Charleston,64,5.03
WSTLWA,64,3.38
Mayflower,65,3.805
Kirby,67,2.11
Kirby,67,2.64
Charleston,67,4.475
Mayflower,67,4.3
CORNLD,67,3.28
john,68,3.46
Kirby,70,2.66
Kirby,70,3.1
Kirby,70,1.92
WSTLWA,70,3.4
Kirby,71,2.27
Charleston,72,3.62
Kirby,75,2
Prospect,76,2.31
GRNCRD,85,2.9
GRNCRL,88,2.15
GRNCRL,90,2.3
GRNCRD,90,2.23
Armory,91,2.35
john,92,2.11
GRNCRD,92,2.28
GRNCRD,93,2.383333333
SANGAD,94,2.78
Armory,95,1.85
SANGAD,97,2.86
SANGAD,99,2.73
